artist,track,listeners,playcount
"Tyler, The Creator",EARFQUAKE,2017673,38113008
"Tyler, The Creator",ARE WE STILL FRIENDS?,1768044,30587447
"Tyler, The Creator",NEW MAGIC WAND,1743081,31154864
"Tyler, The Creator",BEST INTEREST,1551348,23908753
"Tyler, The Creator",Like Him (feat. Lola Young),1365800,20814325
"Tyler, The Creator","GONE, GONE / THANK YOU",1343710,21660522
"Tyler, The Creator",I THINK,1300646,21310633
"Tyler, The Creator",RUNNING OUT OF TIME,1294780,17455250
"Tyler, The Creator",She,1287860,25292387
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),1246700,20724353
"Tyler, The Creator","STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)",1205266,14903332
"Tyler, The Creator",Sugar On My Tongue,1144080,11078234
"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),1109276,15276584
"Tyler, The Creator",A BOY IS A GUN*,1075423,15174052
"Tyler, The Creator",ST. CHROMA (feat. Daniel Caesar),1074548,13701934
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),1059227,15866235
"Tyler, The Creator",Rah Tah Tah,1047099,11114411
"Tyler, The Creator",NOID,1002924,10247276
"Tyler, The Creator",IGOR'S THEME,997043,12961415
Ariana Grande,7 rings,1653329,27857900
Ariana Grande,Into You,1618030,25278253
Ariana Grande,One Last Time,1470009,17727000
Ariana Grande,"thank u, next",1464811,20960727
Ariana Grande,Santa Tell Me,1394907,10373101
Ariana Grande,Dangerous Woman,1361148,16698107
Ariana Grande,Love Me Harder,1344748,15107700
Ariana Grande,we can't be friends (wait for your love),1340357,33522132
Ariana Grande,Side to Side,1299886,12604584
Ariana Grande,Break Free,1284940,11904817
Ariana Grande,Problem,1256843,9841582
Ariana Grande,no tears left to cry,1219532,20002556
Ariana Grande,positions,1210840,16218118
Ariana Grande,God is a woman,1160084,18090966
Ariana Grande,"break up with your girlfriend, i'm bored",1105920,16167770
Ariana Grande,"yes, and?",1098276,25284963
Ariana Grande,34+35,1024431,11308484
Ariana Grande,the boy is mine,1019004,24461116
Ariana Grande,needy,933693,14580487
Ariana Grande,bloodline,896825,13560943
Sabrina Carpenter,Espresso,2094413,53168167
Sabrina Carpenter,Please Please Please,1662240,34814944
Sabrina Carpenter,Taste,1484763,29908039
Sabrina Carpenter,Nonsense,1411275,28245389
Sabrina Carpenter,Feather,1354981,27196687
Sabrina Carpenter,Bed Chem,1213258,24801601
Sabrina Carpenter,Manchild,1124392,20584435
Sabrina Carpenter,Juno,1092789,24164694
Sabrina Carpenter,Tears,934148,13343720
Sabrina Carpenter,Good Graces,927763,17410801
Sabrina Carpenter,because i liked a boy,892301,14596335
Sabrina Carpenter,Busy Woman,826342,14462101
Sabrina Carpenter,When Did You Get Hot?,766159,10550116
Sabrina Carpenter,Don’t Smile,730764,13785413
Sabrina Carpenter,Coincidence,713490,10711231
Sabrina Carpenter,Sharpest Tool,700322,10822798
Sabrina Carpenter,Read your Mind,669666,11889432
Sabrina Carpenter,House Tour,643441,9866808
Sabrina Carpenter,Nobody’s Son,642307,9659793
Sabrina Carpenter,Looking at Me,637541,5431909
Billie Eilish,BIRDS OF A FEATHER,2142728,53158998
Billie Eilish,bad guy,1631528,19907868
Billie Eilish,when the party's over,1569768,21520691
Billie Eilish,WILDFLOWER,1560147,33842712
Billie Eilish,LUNCH,1539657,26737295
Billie Eilish,Happier Than Ever,1500404,28130548
